GESLACHT;LEEFTIJDSKLASSE;GEMEENTENAAM;AANTAL_BSN;AANTAL_VERZEKERDEJAREN;KOSTEN_MEDISCH_SPECIALISTISCHE_ZORG;KOSTEN_FARMACIE;KOSTEN_TWEEDELIJNS_GGZ;KOSTEN_HUISARTS_INSCHRIJFTARIEF;KOSTEN_HUISARTS_CONSULT;KOSTEN_HUISARTS_OVERIG;KOSTEN_HULPMIDDELEN;KOSTEN_MONDZORG;KOSTEN_PARAMEDISCHE_ZORG_FYSIOTHERAPIE;KOSTEN_PARAMEDISCHE_ZORG_OVERIG;KOSTEN_ZIEKENVERVOER_ZITTEND;KOSTEN_ZIEKENVERVOER_LIGGEND;KOSTEN_KRAAMZORG;KOSTEN_VERLOSKUNDIGE_ZORG;KOSTEN_GENERALISTISCHE_BASIS_GGZ;KOSTEN_GRENSOVERSCHRIJDENDE_ZORG;KOSTEN_EERSTELIJNS_ONDERSTEUNING;KOSTEN_GERIATRISCHE_REVALIDATIEZORG;KOSTEN_OVERIG
V;30 t/m 34 jaar;ALBLASSERDAM;565;561.52;705870.97;95810.47;56111.51;32700.44;23794.85;21966.71;14167.42;2270.05;2985.13;1155.77;437.82;7147.95;151836.85;106685.94;8687.44;7920.11;5.40;0.00;1605.38
V;30 t/m 34 jaar;ALBRANDSWAARD;677;674.34;910594.92;79101.33;156728.29;38912.67;30332.14;31396.66;30126.29;2571.38;4381.75;1740.16;1307.22;9387.27;197908.09;131366.22;15336.43;4490.01;7.20;0.00;1428.26
V;30 t/m 34 jaar;ALKMAAR;3384;3351.49;3347464.46;408530.91;918909.67;193644.14;130667.73;113935.40;87687.17;13746.01;29761.31;8335.53;11296.90;44028.18;787506.23;562261.07;100430.71;15015.14;96.75;0.00;44783.86
V;30 t/m 34 jaar;ALMELO;2089;2079.21;2505329.06;334555.61;1218294.52;122064.41;94807.34;125736.83;85745.76;11108.53;23321.70;10898.97;3894.14;41414.92;458811.65;325554.09;46954.06;24689.33;31.95;0.00;4411.03
V;30 t/m 34 jaar;ALMERE;7088;7006.21;9323140.91;971380.13;1590802.27;404045.61;335569.77;396126.66;186823.10;32659.68;43011.86;31361.27;16155.53;115467.78;1409041.78;784268.70;146668.49;54641.66;200.70;0.00;200651.23
V;30 t/m 34 jaar;ALPHEN AAN DEN RIJN;3207;3187.22;3418653.73;405231.96;610092.24;184013.29;138825.48;192175.36;97438.60;10825.73;29791.19;14600.73;7815.10;48279.52;834820.28;564811.95;78039.97;12228.02;59.85;0.00;58170.43
V;30 t/m 34 jaar;ALPHEN-CHAAM;229;226.05;350366.56;68586.36;14265.81;12666.87;9278.70;7021.97;9041.86;1556.66;6861.71;811.42;2258.27;1576.62;64507.34;48681.77;5861.01;8291.51;1.80;0.00;36.45
V;30 t/m 34 jaar;AMELAND;108;108.00;151310.84;12718.26;12552.46;6077.76;6021.99;9062.99;4344.12;0.00;0.00;221.16;2161.79;10630.12;17708.03;11284.94;387.32;0.00;118.35;0.00;80.92
V;30 t/m 34 jaar;AMERSFOORT;5333;5295.20;5938154.32;667626.61;1538889.46;306511.21;222351.76;308167.83;204856.50;24130.23;42406.70;18536.07;39491.23;73412.83;1440068.80;977732.14;168572.57;48017.49;188.55;0.00;23295.09
V;30 t/m 34 jaar;AMSTELVEEN;2442;2339.19;2594164.55;260439.29;556564.97;130287.33;80035.11;102093.42;77894.18;5928.86;25706.65;5787.07;1008.84;25007.56;592696.29;449937.71;45097.37;31959.78;43.20;0.00;33266.18
V;30 t/m 34 jaar;AMSTERDAM;39250;38201.39;38502711.05;4535781.22;10692941.17;2207600.51;1522819.63;1677694.29;853500.40;122692.46;231515.03;128232.59;93096.55;497850.52;6496902.87;5602919.03;978976.51;658695.32;1068.30;12091.37;312266.67
V;30 t/m 34 jaar;APELDOORN;4204;4173.30;5045711.46;883275.96;1386114.20;240776.02;166188.66;211444.62;176654.63;12971.16;41873.68;17120.06;61625.10;67836.03;1023349.24;648103.87;67677.15;21360.52;95.40;0.00;14053.62
